Sketch,Plane,x,z,y
1,YZ,-17.484619407771255,-0.001983245479350951,0.37501573404076566
1,YZ,-17.484619407771255,0.005947739477967798,0.37514158260212405
1,YZ,-17.484619407771255,0.013854774987626358,0.37577019194234323
1,YZ,-17.484619407771255,0.021706022208366246,0.376899030873474
1,YZ,-17.484619407771255,0.029469866938678438,0.3785235539595573
1,YZ,-17.484619407771255,0.037115046916034365,0.3806372198194908
1,YZ,-17.484619407771255,0.04461077769898396,0.3832315174668617
1,YZ,-17.484619407771255,0.05192687662523586,0.38629600058068525
1,YZ,-17.484619407771255,0.05903388434658536,0.38981832956905227
1,YZ,-17.484619407771255,0.0659031834513128,0.3937843212563107
1,YZ,-17.484619407771255,0.07250711369639974,0.398178005993708
1,YZ,-17.484619407771255,0.07881908338556536,0.4029816919635304
1,YZ,-17.484619407771255,0.08481367644464154,0.40817603641780836
1,YZ,-17.484619407771255,0.09046675476313376,0.413740123564736
1,YZ,-17.484619407771255,0.09575555538987222,0.41965154878918254
1,YZ,-17.484619407771255,0.10065878219138234,0.42588650886817
1,YZ,-17.484619407771255,0.10515669160389765,0.43241989781805035
1,YZ,-17.484619407771255,0.10923117213372312,0.4392254079874414
1,YZ,-17.484619407771255,0.11286581728582763,0.44627563598885356
1,YZ,-17.484619407771255,0.11604599162700908,0.45354219304245913
1,YZ,-17.484619407771255,0.1187588897176182,0.4609958192876891
1,YZ,-17.484619407771255,0.12099358767454454,0.46860650160236506
1,YZ,-17.484619407771255,0.12274108715783837,0.4763435944549488
1,YZ,-17.484619407771255,0.12399435160384942,0.4841759433032814
1,YZ,-17.484619407771255,0.12474833455898555,0.49207201004292944
1,YZ,-17.484619407771255,0.125,0.5
2,YZ,-17.484619407771255,0.125,-0.5
2,YZ,-17.484619407771255,0.12474833455898555,-0.5079279899570706
2,YZ,-17.484619407771255,0.12399435160384942,-0.5158240566967186
2,YZ,-17.484619407771255,0.12274108715783834,-0.5236564055450513
2,YZ,-17.484619407771255,0.12099358767454454,-0.531393498397635
2,YZ,-17.484619407771255,0.1187588897176182,-0.5390041807123108
2,YZ,-17.484619407771255,0.11604599162700908,-0.5464578069575409
2,YZ,-17.484619407771255,0.11286581728582766,-0.5537243640111464
2,YZ,-17.484619407771255,0.10923117213372312,-0.5607745920125586
2,YZ,-17.484619407771255,0.10515669160389765,-0.5675801021819497
2,YZ,-17.484619407771255,0.10065878219138233,-0.5741134911318301
2,YZ,-17.484619407771255,0.09575555538987227,-0.5803484512108174
2,YZ,-17.484619407771255,0.09046675476313377,-0.586259876435264
2,YZ,-17.484619407771255,0.08481367644464152,-0.5918239635821917
2,YZ,-17.484619407771255,0.07881908338556531,-0.5970183080364696
2,YZ,-17.484619407771255,0.07250711369639977,-0.601821994006292
2,YZ,-17.484619407771255,0.0659031834513128,-0.6062156787436893
2,YZ,-17.484619407771255,0.05903388434658534,-0.6101816704309477
2,YZ,-17.484619407771255,0.051926876625235804,-0.6137039994193149
2,YZ,-17.484619407771255,0.044610777698983986,-0.6167684825331383
2,YZ,-17.484619407771255,0.037115046916034365,-0.6193627801805093
2,YZ,-17.484619407771255,0.02946986693867841,-0.6214764460404427
2,YZ,-17.484619407771255,0.021706022208366302,-0.623100969126526
2,YZ,-17.484619407771255,0.013854774987626387,-0.6242298080576568
2,YZ,-17.484619407771255,0.005947739477967773,-0.624858417397876
2,YZ,-17.484619407771255,-0.0019832454793510036,-0.6249842659592344
2,YZ,-17.484619407771255,-0.009906244607098567,-0.6246068469939927
2,YZ,-17.484619407771255,-0.017789354784160653,-0.6237276802351166
2,YZ,-17.484619407771255,-0.025600833508148846,-0.6223503057768474
2,YZ,-17.484619407771255,-0.03330922671125438,-0.6204802698199927
2,YZ,-17.484619407771255,-0.04088349541467771,-0.6181251023393336
2,YZ,-17.484619407771255,-0.048293140711641085,-0.6152942867630726
2,YZ,-17.484619407771255,-0.05550832657572177,-0.611999221786417
2,YZ,-17.484619407771255,-0.06250000000000003,-0.6082531754730548
2,YZ,-17.484619407771255,-0.06924000798326378,-0.6040712318293464
2,YZ,-17.484619407771255,-0.07570121089220835,-0.599470230066354
2,YZ,-17.484619407771255,-0.08185759174316062,-0.5944686967942823
2,YZ,-17.484619407771255,-0.08768436096329017,-0.5890867714223579
2,YZ,-17.484619407771255,-0.09315805620946933,-0.5833461250645364
2,YZ,-17.484619407771255,-0.09825663684284844,-0.5772698732775756
2,YZ,-17.484619407771255,-0.10295957267872909,-0.5708824829828464
2,YZ,-17.484619407771255,-0.10724792665437215,-0.5642096739466758
2,YZ,-17.484619407771255,-0.11110443108186543,-0.5572783152159263
2,YZ,-17.484619407771255,-0.11451355717900871,-0.5501163169258267
2,YZ,-17.484619407771255,-0.11746157759823855,-0.5427525179157086
2,YZ,-17.484619407771255,-0.11993662170181217,-0.5352165696051787
2,YZ,-17.484619407771255,-0.12192872336067588,-0.5275388165983176
2,YZ,-17.484619407771255,-0.12342986108454929,-0.5197501744966687
2,YZ,-17.484619407771255,-0.12443399032163557,-0.5118820054130229
2,YZ,-17.484619407771255,-0.12493706779789814,-0.5039659916872585
2,YZ,-17.484619407771255,-0.12493706779789814,-0.4960340083127415
2,YZ,-17.484619407771255,-0.12443399032163557,-0.4881179945869772
2,YZ,-17.484619407771255,-0.12342986108454929,-0.4802498255033313
2,YZ,-17.484619407771255,-0.12192872336067588,-0.4724611834016824
2,YZ,-17.484619407771255,-0.11993662170181217,-0.4647834303948213
2,YZ,-17.484619407771255,-0.11746157759823855,-0.45724748208429145
2,YZ,-17.484619407771255,-0.11451355717900871,-0.4498836830741733
2,YZ,-17.484619407771255,-0.11110443108186543,-0.4427216847840737
2,YZ,-17.484619407771255,-0.10724792665437212,-0.43579032605332424
2,YZ,-17.484619407771255,-0.1029595726787291,-0.42911751701715367
2,YZ,-17.484619407771255,-0.09825663684284841,-0.4227301267224244
2,YZ,-17.484619407771255,-0.09315805620946935,-0.4166538749354636
2,YZ,-17.484619407771255,-0.08768436096329016,-0.4109132285776421
2,YZ,-17.484619407771255,-0.08185759174316065,-0.4055313032057178
2,YZ,-17.484619407771255,-0.07570121089220833,-0.400529769933646
2,YZ,-17.484619407771255,-0.06924000798326381,-0.39592876817065353
2,YZ,-17.484619407771255,-0.06249999999999996,-0.3917468245269452
2,YZ,-17.484619407771255,-0.05550832657572175,-0.38800077821358303
2,YZ,-17.484619407771255,-0.048293140711641085,-0.38470571323692737
2,YZ,-17.484619407771255,-0.040883495414677735,-0.38187489766066646
2,YZ,-17.484619407771255,-0.03330922671125433,-0.37951973018000723
2,YZ,-17.484619407771255,-0.025600833508148818,-0.37764969422315264
2,YZ,-17.484619407771255,-0.017789354784160653,-0.37627231976488346
2,YZ,-17.484619407771255,-0.009906244607098599,-0.37539315300600723
2,YZ,-17.484619407771255,-0.001983245479350951,-0.37501573404076566
2,YZ,-17.484619407771255,0.005947739477967798,-0.37514158260212405
2,YZ,-17.484619407771255,0.013854774987626358,-0.37577019194234323
2,YZ,-17.484619407771255,0.021706022208366246,-0.376899030873474
2,YZ,-17.484619407771255,0.029469866938678438,-0.3785235539595573
2,YZ,-17.484619407771255,0.037115046916034365,-0.3806372198194908
2,YZ,-17.484619407771255,0.04461077769898396,-0.3832315174668617
2,YZ,-17.484619407771255,0.05192687662523586,-0.38629600058068525
2,YZ,-17.484619407771255,0.05903388434658536,-0.38981832956905227
2,YZ,-17.484619407771255,0.0659031834513128,-0.3937843212563107
2,YZ,-17.484619407771255,0.07250711369639974,-0.398178005993708
2,YZ,-17.484619407771255,0.07881908338556536,-0.4029816919635304
2,YZ,-17.484619407771255,0.08481367644464154,-0.40817603641780836
2,YZ,-17.484619407771255,0.09046675476313376,-0.413740123564736
2,YZ,-17.484619407771255,0.09575555538987222,-0.41965154878918254
2,YZ,-17.484619407771255,0.10065878219138234,-0.42588650886817
2,YZ,-17.484619407771255,0.10515669160389765,-0.43241989781805035
2,YZ,-17.484619407771255,0.10923117213372312,-0.4392254079874414
2,YZ,-17.484619407771255,0.11286581728582763,-0.44627563598885356
2,YZ,-17.484619407771255,0.11604599162700908,-0.45354219304245913
2,YZ,-17.484619407771255,0.1187588897176182,-0.4609958192876891
2,YZ,-17.484619407771255,0.12099358767454454,-0.46860650160236506
2,YZ,-17.484619407771255,0.12274108715783837,-0.4763435944549488
2,YZ,-17.484619407771255,0.12399435160384942,-0.4841759433032814
2,YZ,-17.484619407771255,0.12474833455898555,-0.49207201004292944
2,YZ,-17.484619407771255,0.125,-0.5
